Model,R2,MAE,RMSE,MAPE
XGB,0.919449,1.87242,3.712508,0.165172
CART,0.829614,2.06866,5.399224,0.12814
RF,0.87942,1.728592,4.542555,0.101396
MLP,0.30236,7.581138,10.923887,0.941361
SVM,-0.02573,7.746526,13.248056,0.765773
