Model,R2,MAE,RMSE,MAPE
CART-3.5km,0.8493442527,1.958776392,5.022872208,0.1260513012
CART-3.5km,0.8192136236,2.129863632,5.598402252,0.1298172227
CART-3.5km,0.8282934618,2.020392266,5.303340564,0.1261308222
CART-3.5km,0.8220250831,2.111652944,5.614131467,0.1302438059
CART-3.5km,0.8307921098,2.113102663,5.425436003,0.1275106598
CART-6km,0.7951584685,2.209554912,5.679536264,0.1556112934
CART-6km,0.7996049206,2.224605981,5.692478233,0.1597216228
CART-6km,0.7959329499,2.256169553,5.736365147,0.1578445916
CART-6km,0.8076274285,2.170762754,5.538689908,0.1388850222
CART-6km,0.7958044264,2.211546116,5.652168304,0.1472306564
CART-6km,0.7916455389,2.309894799,5.842015453,0.1583748165
CART-6km,0.7950619304,2.254408811,5.630700345,0.148487353
CART-6km,0.7975572704,2.250672899,5.718331798,0.1528792162
CART-6km,0.8027399988,2.175848828,5.580494702,0.1492600075
CART-6km,0.8055505287,2.213471373,5.549831724,0.157949146
CART-6km,0.8046640633,2.158035773,5.543339952,0.1514817817
CART-6km,0.8068970446,2.219298404,5.653545265,0.1394010408
CART-6km,0.7878563048,2.293344696,5.78871582,0.1581940226
CART-6km,0.8056833692,2.211697523,5.560370876,0.1541196798
CART-6km,0.7974222432,2.207285354,5.628719896,0.1605085589
CART-6km,0.7994788584,2.20383474,5.732272678,0.1526860987
CART-6km,0.8016434434,2.201775516,5.506330226,0.1563455231
CART-6km,0.7974009099,2.263627651,5.701002908,0.146265027
CART-6km,0.8027945593,2.179539463,5.613483268,0.1505641109
CART-6km,0.7987754662,2.255853915,5.663192135,0.1566668232
RF-1km,0.8471822408,1.244091507,4.09859743,0.07497722002
RF-1km,0.9311523931,1.108801185,3.059436781,0.07798353041
RF-1km,0.8667037241,1.247084158,4.143745241,0.06950637786
RF-1km,0.900634281,1.073372215,3.490896373,0.07058594085
RF-1km,0.8836502184,1.223495231,3.826746943,0.07715110529
RF-1km,0.8707354448,1.175352466,4.026467917,0.0710702021
RF-1km,0.8894925186,1.185090022,3.566184619,0.07327546771
RF-1km,0.9137503283,1.106918993,3.440455902,0.07176155231
RF-1km,0.8321730908,1.432029354,4.614666918,0.08400012773
RF-1km,0.9102403007,1.066513567,3.267811231,0.07924756185
RF-1km,0.852660396,1.199746956,3.753308346,0.08191396722
RF-1km,0.8763971474,1.299879213,4.132666408,0.07325130473
RF-1km,0.8826341126,1.174007297,3.712742239,0.07015602822
RF-1km,0.8991230576,1.133156122,3.926720055,0.06793457394
RF-1km,0.9099282721,1.106334034,3.26383044,0.07931444466
RF-1km,0.8614717634,1.197743092,3.601798042,0.07235204095
RF-1km,0.8590586613,1.241145309,4.047800604,0.07539353851
RF-1km,0.9081950879,1.056712657,3.525332322,0.06931607202
RF-1km,0.8689017663,1.343050588,4.537933082,0.07957378636
RF-1km,0.91023005,1.151893799,3.294635066,0.08074706704
RF-3.5km,0.886046843,1.710231927,4.362417589,0.1024720692
RF-3.5km,0.8805159531,1.713113579,4.459997911,0.1009045436
RF-3.5km,0.870269626,1.79219371,4.814978265,0.104579232
RF-3.5km,0.8852010921,1.697333678,4.374182253,0.1007611948
RF-3.5km,0.8727235943,1.73623023,4.744619059,0.09801194129
RF-3.5km,0.8843565344,1.696988777,4.464994687,0.1007114611
RF-3.5km,0.8812311156,1.752577713,4.571114887,0.1042673726
RF-3.5km,0.877820718,1.753775029,4.631652239,0.09942034321
RF-3.5km,0.8760376844,1.697967884,4.578460024,0.09866970297
RF-3.5km,0.8795940569,1.708544551,4.426866459,0.1016414089
RF-3.5km,0.885987893,1.622352738,4.370386993,0.09643158414
RF-3.5km,0.8818881909,1.681014194,4.43700909,0.09769207096
RF-3.5km,0.8781488492,1.776645303,4.58609265,0.1027521251
RF-3.5km,0.8733865838,1.794842148,4.697396292,0.1039289521
RF-3.5km,0.8764725319,1.766807412,4.64298674,0.1050073384
RF-3.5km,0.8871926584,1.750001982,4.510738818,0.1036730752
RF-3.5km,0.8806333698,1.684175856,4.481424185,0.1009946849
RF-3.5km,0.892427793,1.642769276,4.289103179,0.09911713936
RF-3.5km,0.8673634038,1.759346888,4.709598461,0.1005500483
RF-3.5km,0.8683038495,1.795435902,4.715946803,0.1026050226
RF-6km,0.8471766587,1.909757816,4.997823285,0.1294874019
RF-6km,0.858625524,1.821672807,4.690426816,0.1389870243
RF-6km,0.8591036437,1.826563292,4.716999019,0.1288291318
RF-6km,0.855652297,1.808300414,4.732233466,0.1307010323
RF-6km,0.8550311918,1.855018615,4.878685016,0.132464247
RF-6km,0.8573811307,1.827582401,4.769502577,0.1292853087
RF-6km,0.8540162411,1.844907938,4.846390454,0.1293604183
RF-6km,0.8531756705,1.881725446,4.89449609,0.1432179637
RF-6km,0.8597252985,1.827972778,4.738691298,0.1135027192
RF-6km,0.8472732587,1.856763187,4.828897772,0.1418593446
RF-6km,0.8612737406,1.792874841,4.640285415,0.1344642612
RF-6km,0.8535666065,1.820909107,4.780200102,0.1385130331
RF-6km,0.8569533902,1.877651043,4.8459066,0.1343950105
RF-6km,0.8517005458,1.862746031,4.873922402,0.1100353819
RF-6km,0.8555084877,1.850041331,4.81882953,0.1294567245
RF-6km,0.8619950648,1.83023192,4.642740601,0.1403105439
RF-6km,0.854119304,1.824259985,4.82634672,0.1358974777
RF-6km,0.8589413624,1.805848087,4.715786149,0.108306254
RF-6km,0.8542239791,1.867353263,4.832042354,0.1316527017
RF-6km,0.8527463073,1.866651783,4.893839063,0.1282343136
