sensor-id,sensor-name,latitude,longitude,URL
EWS154,Jln Kembangan OD (Jln Senang) U/S Culvert,1.325159,103.916404,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS154
EWS155,Siglap Canal (Lor M Telok Kurau),1.311866,103.916473,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS155
EWS157,Kaki Bukit OD (Tampines Ave 10),1.347771,103.9244,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS157
EWS160,Bedok Canal SD5 (Carpark B),1.347861,103.925619,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS160
EWS162,Bedok Canal 2nd SD (Bedok MRT),1.324377,103.930659,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS162
EWS163,Bedok Canal 1st SD (Longvale),1.336945,103.936405,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS163
EWS164,Bayshore Park OD (Jln Pokok Serunai),1.3127466,103.9363389,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS164
EWS166,Tampines OD1 (Blk 103),1.347998,103.946123,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS166
EWS168,Bedok Canal 3rd SD (Jln Limau Bali),1.3225452,103.9483073,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS168
EWS170,Bedok Rd (Country Pk Condo),1.3213345,103.9550785,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS170
EWS172,Sg Ketapang (Unit 41),1.338962,103.956279,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS172
EWS176,Sg Mata Ikan (Nasaco Tech Centre),1.337288,103.971799,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS176
EWS200,Hougang Ave 10 OD (Hougang Sports Hall),1.370313,103.888592,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS200
EWS205,Sun Plaza Pk OD (Tampines Ave 7),1.360013,103.942244,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS205
EWS206,Kensington Park Rd/Jln Chulek,1.3664509,103.8668536,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS206
EWS207,Serangoon Garden OD3 (Lycee Francais De Singapour),1.3714739,103.8668282,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS207
EWS208,Ang Mo Kio Ind Pk 2 (Sing Ind Complex),1.3759573,103.8642797,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS208
EWS211,Opera Estate SD (Siglap Centre),1.3123813,103.9231431,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS211
EWS213,Opera Estate SD (East Coast Terrace Pk),1.3114575,103.9234861,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS213
EWS249,TPE Slip Rd (Punggol Crest),1.3994804,103.899298,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS249
EWS250,TPE Slip Rd (Punggol West Flyover),1.400122,103.896496,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=EWS250
WWS001,Alexandra Rd/ Telok Blangah Rd,1.27286,103.802931,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS001
WWS049,Sunset OD (Sunset Way),1.3243589,103.765928,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS049
WWS094,Gul Circle,1.312554,103.676528,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS094
WWS116,Choa Chu Kang Ave 1/ Teck Wye Lane,1.380737,103.749716,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS116
WWS122,Boon Lay Way (Blk 201),1.342899,103.715565,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS122
WWS123,Corporation Rd (Blk 203),1.344057,103.715993,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS123
WWS124,Corporation Rd OD (Blk 90),1.3413974,103.7160136,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS124
WWS125,Chin Bee Ave/Second Chin Bee Rd,1.33399,103.714112,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS125
WWS127,Jln Tukang OD (Unit 14),1.329544,103.713057,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS127
WWS132,Sunset Dr (Unit 10),1.325316,103.767279,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS132
WWS133,Alexandra Rd (Opp Fragrance Empire Bldg),1.2749479,103.8021363,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS133
WWS134,Bukit Timah Rd/ Blackmore Dr,1.3354153,103.7834913,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS134
WWS135,Bt Timah Rd (Tan Chong Motor Centre),1.333862,103.788591,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS135
WWS136,Bt Timah Rd/ Cherry Ave,1.3329527,103.7911614,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS136
WWS137,Lor Kismis (Unit 2),1.3365898,103.7650484,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS137
WWS138,Telok Blangah Rise/Lower Delta Rd,1.271842,103.8240409,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS138
WWS139,West Coast Highway/Clementi Rd,1.291982,103.767392,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS139
WWS143,West Coast OD (Teban Gardens Rd),1.320187,103.737974,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS143
WWS146,Tuas Rd OD4 (Tuas Ave 13),1.320024,103.643161,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS146
WWS152,Sg Lanchar SD C (Customs Ops Cmd),1.353773,103.70026,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS152
WWS154,Tuas South OD4 (Tuas South Ave 9),1.273519,103.636147,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS154
WWS155,Tuas South Blvd Ext OD1 (Tuas South Blvd),1.28298,103.621213,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS155
WWS157,Tuas View OD3 (Tuas South Ave 1),1.307303,103.624609,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS157
WWS158,Tuas View OD2 (Tuas South Ave 1),1.309572,103.625559,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS158
WWS159,Tuas Rd OD5 (Tuas West Dr),1.336764,103.637013,https://app.pub.gov.sg/waterlevel/pages/WaterLevelReport.aspx?stationid=WWS159
